area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Caluromys_philander,sm
Didelphis_marsupialis,sm
Euryoryzomys_macconnelli,sm
Guerlinguetus_aestuans,sm
Hylaeamys_megacephalus,sm
Isotrix_pagurus,sm
Marmosa_demerarae,sm
Marmosa_murina,sm
Marmosops_parvidens,sm
Marmosops_pinheiroi,sm
Mesomys_hispidus,sm
Metachirunus_nudicaudatus,sm
Monodelphis_arlindoi,sm
Neacomys_paracou,sm
Neacomys_guianae,sm
Oecomys_sp.1,sm
Oecomys_cf._rex,sm
Philander_opossum,sm
Proechimys_sp.,sm
Rhipidomys_leucodactylus,sm
Kentropyx_spp.,liz
Arthrosaura_reticulata,liz
Leposoma_spp.,liz
Gonatodes_humeralis,liz
Ameiva_ameiva,liz
Copeoglossum_nigropuntactum,liz
Norops_spp.,liz
Plica_umbra,liz
Pseudogonatodes_guianensis_,liz
Amphisbaena_fuliginosa,liz
Chatogekus_amazonicus_,liz
Ptychoglossus_brevifrontalis_,liz
Tetrioscincus_agilis,liz
Bachia_panoplia,liz
Alouatta_macconelli,mid.large
Ateles_paniscus,mid.large
Cabassous,mid.large
Chiropotes_sagulatus,mid.large
Pithecia_pithecia,mid.large
Saguinus_midas,mid.large
Saimiri_sciureus,mid.large
Sapajus_apella,mid.large
Nasua_nasua,mid.large
Tamandua_tetradactyla_,mid.large
Cuniculus_paca,mid.large
Dasyprocta_leporina,mid.large
Dasypus_kappleri,mid.large
Dasypus_novemcinctus_,mid.large
Eira_barbara,mid.large
Leopardus_pardalis,mid.large
Leopardus_wiedii_,mid.large
Mazama_americana,mid.large
Mazama_nemorivaga,mid.large
Myoprocta_acouchy,mid.large
Myrmecophaga_tridactyla_,mid.large
Panthera_onca,mid.large
Pecari_tajacu,mid.large
Priodontes_maximus_,mid.large
Puma_concolor,mid.large
Puma_yaguaroundi,mid.large
Tapirus_terrestris,mid.large
Tayassu_pecari,mid.large
Amazilia_versicolor,birds
Ammodramus_aurifrons,birds
Arremon_taciturnus,birds
Attila_spadiceus,birds
Automolus_infuscatus,birds
Automolus_ochrolaemus,birds
Bucco_tamatia,birds
Cacicus_cela,birds
Campephilus_rubricollis,birds
Campylopterus_largipennis,birds
Catharus_fuscescens,birds
Celeus_elegans,birds
Ceratopipra_erythrocephala,birds
Cercomacroides_tyrannina,birds
Certhiasomus_stictolaemus,birds
Chloroceryle_aenea,birds
Coccycua_minuta,birds
Coereba_flaveola,birds
Conopophaga_aurita,birds
Corythopis_torquatus,birds
Cyanerpes_caeruleus,birds
Cyanoloxia_rothschildii,birds
Cymbilaimus_lineatus,birds
Cyphorhinus_arada,birds
Dendrocincla_fuliginosa,birds
Dendrocolaptes_certhia,birds
Dixiphia_pipra,birds
Dryocopus_lineatus,birds
Epinecrophylla_gutturalis,birds
Formicarius_analis,birds
Formicarius_colma,birds
Florisuga_mellivora,birds
Galbula_albirostris,birds
Geotrygon_montana,birds
Glaucidium_hardyi,birds
Glaucis_hirsutus,birds
Glyphorynchus_spirurus,birds
Gymnopithys_rufigula,birds
Heliothryx_auritus,birds
Hemitriccus_zosterops,birds
Henicorhina_leucosticta,birds
Hylophylax_naevius,birds
Hypocnemis_cantator,birds
Isleria_guttata,birds
Jacamerops_aureus,birds
Lanio_fulvus,birds
Lanio_surinamus,birds
Lepidothrix_serena,birds
Leptotila_rufaxilla,birds
Leucopternis_melanops,birds
Lipaugus_vociferans,birds
Lophotriccus_galeatus,birds
Lophotriccus_vitiosus,birds
Malacoptila_fusca,birds
Manacus_manacus,birds
Micrastur_gilvicollis,birds
Micrastur_ruficollis,birds
Mionectes_macconnelli,birds
Mionectes_oleagineus,birds
Momotus_momota,birds
Monasa_atra,birds
Myiarchus_ferox,birds
Myiarchus_tuberculifer,birds
Myiobius_barbatus,birds
Myrmornis_torquata,birds
Myrmothera_campanisona,birds
Myrmotherula_axillaris,birds
Myrmotherula_longipennis,birds
Myrmotherula_menetriesii,birds
Myrmoderus_ferrugineus,birds
Nasica_longirostris,birds
Onychorhynchus_coronatus,birds
Percnostola_rufifrons,birds
Phaethornis_ruber,birds
Phaethornis_superciliosus,birds
Phaethornis_bourcieri,birds
Pheugopedius_coraya,birds
Philydor_erythrocercum,birds
Philydor_pyrrhodes,birds
Platyrinchus_coronatus,birds
Platyrinchus_platyrhynchos,birds
Platyrinchus_saturatus,birds
Pithys_albifrons,birds
Pteroglossus_viridis,birds
Ramphastos_vitellinus,birds
Ramphocelus_carbo,birds
Ramphotrigon_ruficauda,birds
Rhynchocyclus_olivaceus,birds
Rhytipterna_simplex,birds
Saltator_grossus,birds
Saltator_maximus,birds
Schiffornis_turdina,birds
Sclerurus_caudacutus,birds
Sclerurus_macconnelli,birds
Sclerurus_rufigularis,birds
Sittasomus_griseicapillus,birds
Sporophila_angolensis,birds
Synallaxis_rutilans,birds
Tangara_palmarum,birds
Terenotriccus_erythrurus,birds
Thalurania_furcata,birds
Thamnomanes_ardesiacus,birds
Thamnomanes_caesius,birds
Thamnophilus_melanothorax,birds
Thamnophilus_murinus,birds
Thamnophilus_punctatus,birds
Tolmomyias_assimilis,birds
Tolmomyias_poliocephalus,birds
Troglodytes_musculus,birds
Trogon_rufus,birds
Trogon_viridis,birds
Tunchiornis_ochraceiceps,birds
Turdus_albicollis,birds
Tyranneutes_virescens,birds
Willisornis_poecilinotus,birds
Xenops_minutus,birds
Xiphorhynchus_obsoletus,birds
Xiphorhynchus_pardalotus,birds
Zebrilus_undulatus,birds
Adenomera_andreae,frogs
Adenomera_hylaedactyla,frogs
Ameerega_trivittata,frogs
Ameerega_hahneli,frogs
Anomaloglossus_stepheni,frogs
Atelopus_hoogmoedi,frogs
Boana_boans,frogs
Boana_calcarata,frogs
Boana_cinerascens,frogs
Boana_fasciata,frogs
Boana_lanciformis,frogs
Ceratophrys_cornuta,frogs
Chiasmocleis_shudikarensis,frogs
Dendropsophus_brevifrons,frogs
Dendropsophus_minusculus,frogs
Dendropsophus_parviceps,frogs
Elachistocleis_bicolor,frogs
Leptodactylus_longirostris,frogs
Leptodactylus_cf_pentadactylus,frogs
Leptodactylus_cf_knudseni,frogs
Leptodactylus_stenodema,frogs
Osteocephalus_oophagus,frogs
Osteocephalus_taurinus,frogs
Phyllomedusa_vaillantii,frogs
Pristimantis_fenestratus,frogs
Pristimantis_ockendeni,frogs
Pristimantis_zimmermanae,frogs
Scinax_garbei,frogs
Scinax_ruber,frogs
Synapturanus_mirandaribeiroi,frogs
Trachycephalus_coriaceus,frogs
Trachycephalus_resinifictrix,frogs
Rhaebo_guttatus,frogs
Rhinella_marina,frogs
Rhinella_merianae,frogs
Ateuchus.sp.1,beetles
Ateuchus.sp.2,beetles
Canthidium.deyrollei,beetles
Canthidium.dohrni,beetles
