	Mean_body_length	Mean_body_width	Mean_wing_length
eg_avicula	10.732	4.985	9.076
el_bombiformis	25.931	10.651	25.196
eg_chalybeata	13.13	5.102	11.531
eg_cognata	12.187	5.267	9.987
eg_crassipunctata	8.852	3.85	7.782
eg_ignita	12.073	4.775	10.621
eg_intersecta	16.459	6.728	13.26
eg_irisa	9.734	4.647	8.573
el_meriana	24.68	10.143	23.98
el_mocsaryi	18.26	7.293	16.587
ex_smaragdina	17.671	6.919	17.114
ex_frontalis	23.424	9.064	24.282
eg_imperialis	12.775	5.021	11.18
eg_iopyrrha	10.65	4.86	9.063
eg_orellana	13.44	5.1	10.968
el_cingulata	20.73	9.89	18.16
eg_retroviridis	11.44	4.94	9.767
eg_mourei	9.411	4.355	8.088
eg_augaspis	9.517	4.031	8.397
eg_bidentata	10.503	4.577	9.14
eg_piliventris	13.88	6.09	12.72
eg_prasina	9.215	4.188	7.258
el_pseudocingulta	20	9	18
eg_gaianii	8.53	4.21	6.23
