area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
eg_avicula,species
el_bombiformis,species
eg_chalybeata,species
eg_cognata,species
eg_crassipunctata,species
eg_ignita,species
eg_intersecta,species
eg_irisa,species
el_meriana,species
el_mocsaryi,species
ex_smaragdina,species
ex_frontalis,species
eg_imperialis,species
eg_iopyrrha,species
eg_orellana,species
el_cingulata,species
eg_retroviridis,species
eg_mourei,species
eg_augaspis,species
eg_bidentata,species
eg_piliventris,species
eg_prasina,species
el_pseudocingulta,species
eg_gaianii,species
