area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Ateuchus.sp.1,species
Ateuchus.sp.2,species
Canthidium.deyrollei,species
Canthidium.dohrni,species
Canthidium.gerstaeckeri,species
Canthidium.sp.1,species
Canthidium.sp.2,species
Canthon.aff..juvencus,species
Canthon.sordidus,species
Canthon.triangularis,species
Coprophanaeus.parvulus,species
Cryptocanthon.peckorum,species
Delthochilum.sp.1,species
Delthochilum.sp.2,species
Delthochilum.sp.3,species
Dichotomius.aff..lucasi,species
Dichotomius.boreus,species
Dichotomius.mamillatus,species
Dichotomius.subaeneus,species
Eurysternus.atrosericus,species
Eurysternus.balachowskyi,species
Eurysternus.caribaeus,species
Eurysternus.ventricosus,species
Ontherus.carinifrons,species
Onthophagus.rubrescens,species
Onthophagus.sp.1,species
Oxysternon.festivum..viridanum,species
Phanaeus.cambeforti,species
Phanaeus.chalcomelas,species
Scybalocanthon.cyanocephalus,species
Scybalocanthon.pygidialis,species
Sinapisoma.sp.,species
Uroxys.sp.1,species
