"","Amazilia_versicolor","Ammodramus_aurifrons","Arremon_taciturnus","Attila_spadiceus","Automolus_infuscatus","Automolus_ochrolaemus","Bucco_tamatia","Cacicus_cela","Campephilus_rubricollis","Campylopterus_largipennis","Catharus_fuscescens","Celeus_elegans","Ceratopipra_erythrocephala","Cercomacroides_tyrannina","Certhiasomus_stictolaemus","Chloroceryle_aenea","Coccycua_minuta","Coereba_flaveola","Conopophaga_aurita","Corythopis_torquatus","Cyanerpes_caeruleus","Cyanoloxia_rothschildii","Cymbilaimus_lineatus","Cyphorhinus_arada","Dendrocincla_fuliginosa","Dendrocolaptes_certhia","Dixiphia_pipra","Dryocopus_lineatus","Epinecrophylla_gutturalis","Formicarius_analis","Formicarius_colma","Florisuga_mellivora","Galbula_albirostris","Geotrygon_montana","Glaucidium_hardyi","Glaucis_hirsutus","Glyphorynchus_spirurus","Gymnopithys_rufigula","Heliothryx_auritus","Hemitriccus_zosterops","Henicorhina_leucosticta","Hylophylax_naevius","Hypocnemis_cantator","Isleria_guttata","Jacamerops_aureus","Lanio_fulvus","Lanio_surinamus","Lepidothrix_serena","Leptotila_rufaxilla","Leucopternis_melanops","Lipaugus_vociferans","Lophotriccus_galeatus","Lophotriccus_vitiosus","Malacoptila_fusca","Manacus_manacus","Micrastur_gilvicollis","Micrastur_ruficollis","Mionectes_macconnelli","Mionectes_oleagineus","Momotus_momota","Monasa_atra","Myiarchus_ferox","Myiarchus_tuberculifer","Myiobius_barbatus","Myrmornis_torquata","Myrmothera_campanisona","Myrmotherula_axillaris","Myrmotherula_longipennis","Myrmotherula_menetriesii","Myrmoderus_ferrugineus","Nasica_longirostris","Onychorhynchus_coronatus","Percnostola_rufifrons","Phaethornis_ruber","Phaethornis_superciliosus","Phaethornis_bourcieri","Pheugopedius_coraya","Philydor_erythrocercum","Philydor_pyrrhodes","Platyrinchus_coronatus","Platyrinchus_platyrhynchos","Platyrinchus_saturatus","Pithys_albifrons","Pteroglossus_viridis","Ramphastos_vitellinus","Ramphocelus_carbo","Ramphotrigon_ruficauda","Rhynchocyclus_olivaceus","Rhytipterna_simplex","Saltator_grossus","Saltator_maximus","Schiffornis_turdina","Sclerurus_caudacutus","Sclerurus_macconnelli","Sclerurus_rufigularis","Sittasomus_griseicapillus","Sporophila_angolensis","Synallaxis_rutilans","Tangara_palmarum","Terenotriccus_erythrurus","Thalurania_furcata","Thamnomanes_ardesiacus","Thamnomanes_caesius","Thamnophilus_melanothorax","Thamnophilus_murinus","Thamnophilus_punctatus","Tolmomyias_assimilis","Tolmomyias_poliocephalus","Troglodytes_musculus","Trogon_rufus","Trogon_viridis","Tunchiornis_ochraceiceps","Turdus_albicollis","Tyranneutes_virescens","Willisornis_poecilinotus","Xenops_minutus","Xiphorhynchus_obsoletus","Xiphorhynchus_pardalotus","Zebrilus_undulatus"
"Abusado",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andre",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacaba",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Beco_do_Catitu",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
"Cipoal",0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"Coata",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Formiga",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Furo_de_Santa_Luzia",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0
"Fuzaca",0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"Garrafa",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
