	forest.dependency	trophic.level	body.mass
Amazilia_versicolor	2	3.1	4.1
Ammodramus_aurifrons	0	2.6	17.8
Arremon_taciturnus	3	3	24.8
Attila_spadiceus	2	4	39.1
Automolus_infuscatus	3	4.1	32.9
Automolus_ochrolaemus	2	4.2	40.2
Bucco_capensis	2	4.7	54
Cacicus_cela	2	3.4	85.45
Campephilus_rubricollis	3	4	210.71
Campylopterus_largipennis	2	3.1	8.3
Catharus_fuscescens	2	3.4	31.9
Celeus_elegans	3	3.8	134.97
Ceratopipra_erythrocephala	3	3.2	13.43
Cercomacroides_tyrannina	2	4	16.3
Certhiasomus_stictolaemus	2	4	18.5
Chloroceryle_aenea	2	4.8	13.75
Coccycua_minuta	2	4	39.3
Coereba_flaveola	1	3.3	10.01
Conopophaga_aurita	3	4	26.3
Corythopis_torquatus	3	4.1	14.3
Cyanerpes_caeruleus	2	3.4	12
Cyanoloxia_rothschildii	2	3.1	32.5
Cymbilaimus_lineatus	2	4.1	35.8
Cyphorhinus_arada	3	3.8	20.9
Dendrocincla_fuliginosa	2	4.2	38.7
Dendrocolaptes_certhia	2	4.2	68.7
Dixiphia_pipra	3	3.4	11.11
Dryocopus_lineatus	1	3.7	183.19
Epinecrophylla_gutturalis	3	4	9.2
Formicarius_analis	3	4	62.19
Formicarius_colma	3	4	47
Florisuga_mellivora	2	3.1	7.4
Galbula_albirostris	3	4	22.1
Geotrygon_montana	2	2.7	133.86
Glaucidium_hardyi	3	4.3	58.3
Glaucis_hirsutus	1	3.1	6.76
Glyphorynchus_spirurus	2	4	14.6
Gymnopithys_rufigula	3	4.1	29.1
Heliothryx_auritus	3	3.1	5.4
Hemitriccus_zosterops	3	4	8.72
Henicorhina_leucosticta	3	4	14.18
Hylophylax_naevius	3	4	14.2
Hypocnemis_cantator	2	4	12.29
Isleria_guttata	3	4	11
Jacamerops_aureus	3	4.1	62.9
Lanio_fulvus	2	3.6	24
Lanio_surinamus	2	3.4	19
Lepidothrix_serena	3	3.4	11.4
Leptotila_rufaxilla	2	2.3	157
Leucopternis_melanops	2	5	312
Lipaugus_vociferans	3	3.5	75.42
Lophotriccus_galeatus	2	4	6.6
Lophotriccus_vitiosus	3	4	6.7
Malacoptila_fusca	2	4	45.4
Manacus_manacus	2	3.1	16.7
Micrastur_gilvicollis	3	4.6	209
Micrastur_ruficollis	2	5	177.64
Mionectes_macconnelli	2	3.7	13.5
Mionectes_oleagineus	2	3.2	11.17
Momotus_momota	2	3.9	114.96
Monasa_atra	2	4.2	90.4
Myiarchus_ferox	2	3.5	27.5
Myiarchus_tuberculifer	2	3.7	17.7
Myiobius_barbatus	3	4	11.9
Myrmornis_torquata	3	4	46.7
Myrmothera_campanisona	3	4	47
Myrmotherula_axillaris	3	4	8.09
Myrmotherula_longipennis	3	4	9.4
Myrmotherula_menetriesii	2	4	8.6
Myrmoderus_ferrugineus	2	5	26.1
Nasica_longirostris	2	4.1	92
Onychorhynchus_coronatus	3	4	14
Percnostola_rufifrons	2	4	23.89
Phaethornis_ruber	2	3.1	2.4
Phaethornis_superciliosus	3	3.1	6.3
Phaethornis_bourcieri	3	3.1	4.3
Pheugopedius_coraya	2	3.6	17.2
Philydor_erythrocercum	3	4	25.27
Philydor_pyrrhodes	3	4	30.5
Platyrinchus_coronatus	3	4	9.14
Platyrinchus_platyrhynchos	3	4	12
Platyrinchus_saturatus	3	4	10.7
Pithys_albifrons	3	4.1	19.47
Pteroglossus_viridis	2	3	135
Ramphastos_vitellinus	3	3.6	360.36
Ramphocelus_carbo	1	3.5	25.92
Ramphotrigon_ruficauda	2	3.8	18.4
Rhynchocyclus_olivaceus	3	4	21.3
Rhytipterna_simplex	3	3.8	31.8
Saltator_grossus	2	3.6	44.2
Saltator_maximus	2	3.6	47.62
Schiffornis_turdina	3	3.5	31.7
Sclerurus_caudacutus	3	4	36.23
Sclerurus_macconnelli	3	4	25.1
Sclerurus_rufigularis	3	4	21.6
Sittasomus_griseicapillus	2	3.7	13.12
Sporophila_angolensis	1	2	13
Synallaxis_rutilans	3	4	16.7
Tangara_palmarum	2	2.9	39
Terenotriccus_erythrurus	3	4	7.4
Thalurania_furcata	2	3.1	4.19
Thamnomanes_ardesiacus	3	4	17.7
Thamnomanes_caesius	3	4	15.7
Thamnophilus_melanothorax	2	4	31.8
Thamnophilus_murinus	3	4	19.3
Thamnophilus_punctatus	2	4	19.4
Tolmomyias_assimilis	3	3.9	17
Tolmomyias_poliocephalus	2	4	10.8
Troglodytes_musculus	1	3.4	10.85
Trogon_rufus	3	3.6	53.8
Trogon_viridis	2	3.5	89.69
Tunchiornis_ochraceiceps	2	3.8	11.6
Turdus_albicollis	2	3.6	54
Tyranneutes_virescens	3	3.2	7.18
Willisornis_poecilinotus	3	4.1	18.4
Xenops_minutus	3	4	10.6
Xiphorhynchus_obsoletus	2	4	32.6
Xiphorhynchus_pardalotus	2	4	34.57
Zebrilus_undulatus	3	4.5	123
