area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Amazilia_versicolor,species
Ammodramus_aurifrons,species
Arremon_taciturnus,species
Attila_spadiceus,species
Automolus_infuscatus,species
Automolus_ochrolaemus,species
Bucco_tamatia,species
Cacicus_cela,species
Campephilus_rubricollis,species
Campylopterus_largipennis,species
Catharus_fuscescens,species
Celeus_elegans,species
Ceratopipra_erythrocephala,species
Cercomacroides_tyrannina,species
Certhiasomus_stictolaemus,species
Chloroceryle_aenea,species
Coccycua_minuta,species
Coereba_flaveola,species
Conopophaga_aurita,species
Corythopis_torquatus,species
Cyanerpes_caeruleus,species
Cyanoloxia_rothschildii,species
Cymbilaimus_lineatus,species
Cyphorhinus_arada,species
Dendrocincla_fuliginosa,species
Dendrocolaptes_certhia,species
Dixiphia_pipra,species
Dryocopus_lineatus,species
Epinecrophylla_gutturalis,species
Formicarius_analis,species
Formicarius_colma,species
Florisuga_mellivora,species
Galbula_albirostris,species
Geotrygon_montana,species
Glaucidium_hardyi,species
Glaucis_hirsutus,species
Glyphorynchus_spirurus,species
Gymnopithys_rufigula,species
Heliothryx_auritus,species
Hemitriccus_zosterops,species
Henicorhina_leucosticta,species
Hylophylax_naevius,species
Hypocnemis_cantator,species
Isleria_guttata,species
Jacamerops_aureus,species
Lanio_fulvus,species
Lanio_surinamus,species
Lepidothrix_serena,species
Leptotila_rufaxilla,species
Leucopternis_melanops,species
Lipaugus_vociferans,species
Lophotriccus_galeatus,species
Lophotriccus_vitiosus,species
Malacoptila_fusca,species
Manacus_manacus,species
Micrastur_gilvicollis,species
Micrastur_ruficollis,species
Mionectes_macconnelli,species
Mionectes_oleagineus,species
Momotus_momota,species
Monasa_atra,species
Myiarchus_ferox,species
Myiarchus_tuberculifer,species
Myiobius_barbatus,species
Myrmornis_torquata,species
Myrmothera_campanisona,species
Myrmotherula_axillaris,species
Myrmotherula_longipennis,species
Myrmotherula_menetriesii,species
Myrmoderus_ferrugineus,species
Nasica_longirostris,species
Onychorhynchus_coronatus,species
Percnostola_rufifrons,species
Phaethornis_ruber,species
Phaethornis_superciliosus,species
Phaethornis_bourcieri,species
Pheugopedius_coraya,species
Philydor_erythrocercum,species
Philydor_pyrrhodes,species
Platyrinchus_coronatus,species
Platyrinchus_platyrhynchos,species
Platyrinchus_saturatus,species
Pithys_albifrons,species
Pteroglossus_viridis,species
Ramphastos_vitellinus,species
Ramphocelus_carbo,species
Ramphotrigon_ruficauda,species
Rhynchocyclus_olivaceus,species
Rhytipterna_simplex,species
Saltator_grossus,species
Saltator_maximus,species
Schiffornis_turdina,species
Sclerurus_caudacutus,species
Sclerurus_macconnelli,species
Sclerurus_rufigularis,species
Sittasomus_griseicapillus,species
Sporophila_angolensis,species
Synallaxis_rutilans,species
Tangara_palmarum,species
Terenotriccus_erythrurus,species
Thalurania_furcata,species
Thamnomanes_ardesiacus,species
Thamnomanes_caesius,species
Thamnophilus_melanothorax,species
Thamnophilus_murinus,species
Thamnophilus_punctatus,species
Tolmomyias_assimilis,species
Tolmomyias_poliocephalus,species
Troglodytes_musculus,species
Trogon_rufus,species
Trogon_viridis,species
Tunchiornis_ochraceiceps,species
Turdus_albicollis,species
Tyranneutes_virescens,species
Willisornis_poecilinotus,species
Xenops_minutus,species
Xiphorhynchus_obsoletus,species
Xiphorhynchus_pardalotus,species
Zebrilus_undulatus,species
