	body_size	dung_relocation_behavior	diet
Ateuchus.sp.1	0.011	tunneler	coprophogus
Ateuchus.sp.2	0.011	tunneler	coprophogus
Canthidium.deyrollei	0.012	tunneler	coprophogus
Canthidium.dohrni	0.03	tunneler	coprophogus
Canthidium.gerstaeckeri	0.013	tunneler	coprophogus
Canthidium.sp.1	0.01	tunneler	coprophogus
Canthidium.sp.2	0.01	tunneler	coprophogus
Canthon.aff..juvencus	0.0031	roller	generalist
Canthon.sordidus	0.011	roller	generalist
Canthon.triangularis	0.04	roller	generalist
Coprophanaeus.parvulus	0.22	tunneler	generalist
Cryptocanthon.peckorum	0.001	roller	generalist
Delthochilum.sp.1	0.03	roller	generalist
Delthochilum.sp.2	0.03	roller	generalist
Delthochilum.sp.3	0.03	roller	generalist
Dichotomius.aff..lucasi	0.08	tunneler	generalist
Dichotomius.boreus	0.7	tunneler	coprophogus
Dichotomius.mamillatus	0.37	tunneler	coprophogus
Dichotomius.subaeneus	0.26	tunneler	coprophogus
Eurysternus.atrosericus	0.00683	dweller	coprophogus
Eurysternus.balachowskyi	0.02743	dweller	coprophogus
Eurysternus.caribaeus	0.11	dweller	coprophogus
Eurysternus.ventricosus	0.01	dweller	coprophogus
Ontherus.carinifrons	0.04	tunneler	coprophogus
Onthophagus.rubrescens	0.00373	tunneler	coprophogus
Onthophagus.sp.1	0.00663	tunneler	coprophogus
Oxysternon.festivum..viridanum	0.3152	dweller	generalist
Phanaeus.cambeforti	0.03313	tunneler	generalist
Phanaeus.chalcomelas	0.16797	tunneler	generalist
Scybalocanthon.cyanocephalus	0.01763	roller	coprophogus
Scybalocanthon.pygidialis	0.02317	roller	coprophogus
Sinapisoma.sp.	0.00083	NA	NA
Uroxys.sp.1	0.00113	tunneler	coprophogus
