	reproductive_mode	habitat_diversity	body_size_mm	body_size_relativized
Adenomera_andreae	32	1	28	11.61825726
Adenomera_hylaedactyla	32	2	30	12.44813278
Ameerega_hahneli	20	1	23	9.543568465
Ameerega_trivittata	20	1	49.5	20.53941909
Anomaloglossus_stepheni	21	1	18.24	7.56846473
Atelopus_hoogmoedi	1	2	41.2	17.09543568
Boana_boans	4	3	132	54.77178423
Boana_calcarata	1	3	61	25.31120332
Boana_cinerascens	1	2	36.2	15.02074689
Boana_fasciata	1	2	51.2	21.24481328
Boana_lanciformis	1	2	94	39.00414938
Ceratophrys_cornuta	1	1	120	49.79253112
Chiasmocleis_shudikarensis	1	3	32	13.2780083
Dendropsophus_brevifrons	24	3	25	10.37344398
Dendropsophus_minusculus	1	2	24	9.958506224
Dendropsophus_parviceps	1	2	27	11.2033195
Elachistocleis_bicolor	1	3	43	17.84232365
Leptodactylus_knudseni_pentadactylus	13	2	165	68.46473029
Leptodactylus_longirostris	13	3	51.6	21.41078838
Leptodactylus_pentadactylus_knudseni	13	3	185	76.76348548
Leptodactylus_stenodema	13	3	146	60.58091286
Osteocephalus_buckleyi	2	3	69	28.63070539
Osteocephalus_oophagus	6	2	62.7	26.01659751
Osteocephalus_taurinus	1	3	103.9	43.1120332
Phyllomedusa_tarsius	24	3	112	46.47302905
Phyllomedusa_vaillantii	24	3	84	34.85477178
Pristimantis_fenestratus	23	2	55	22.82157676
Pristimantis_ockendeni	23	2	29.5	12.2406639
Pristimantis_zimmermanae	23	2	25.8	10.70539419
Rhaebo_guttatus	1	2	140	58.09128631
Rhinella_marina	1	2	241	100
Rhinella_merianae	1	2	90	37.34439834
Scinax_garbei	1	2	49.1	20.37344398
Scinax_ruber	1	2	45	18.67219917
Synapturanus_mirandaribeiroi	23	3	42	17.42738589
Trachycephalus_coriaceus	1	3	66	27.38589212
Trachycephalus_resinifictrix	26	2	88	36.51452282
