area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Adenomera_andreae,species
Adenomera_hylaedactyla,species
Ameerega_trivittata,species
Ameerega_hahneli,species
Anomaloglossus_stepheni,species
Atelopus_hoogmoedi,species
Boana_boans,species
Boana_calcarata,species
Boana_cinerascens,species
Boana_fasciata,species
Boana_lanciformis,species
Ceratophrys_cornuta,species
Chiasmocleis_shudikarensis,species
Dendropsophus_brevifrons,species
Dendropsophus_minusculus,species
Dendropsophus_parviceps,species
Elachistocleis_bicolor,species
Leptodactylus_longirostris,species
Leptodactylus_cf_pentadactylus,species
Leptodactylus_cf_knudseni,species
Leptodactylus_stenodema,species
Osteocephalus_oophagus,species
Osteocephalus_taurinus,species
Phyllomedusa_vaillantii,species
Pristimantis_fenestratus,species
Pristimantis_ockendeni,species
Pristimantis_zimmermanae,species
Scinax_garbei,species
Scinax_ruber,species
Synapturanus_mirandaribeiroi,species
Trachycephalus_coriaceus,species
Trachycephalus_resinifictrix,species
Rhaebo_guttatus,species
Rhinella_marina,species
Rhinella_merianae,species
