area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Kentropyx_spp.,species
Arthrosaura_reticulata,species
Leposoma_spp.,species
Gonatodes_humeralis,species
Ameiva_ameiva,species
Copeoglossum_nigropuntactum,species
Norops_spp.,species
Plica_umbra,species
Pseudogonatodes_guianensis,species
Amphisbaena_fuliginosa,species
Chatogekus_amazonicus,species
Ptychoglossus_brevifrontalis,species
Tetrioscincus_agilis,species
Bachia_panoplia,species
