	Body_mass_kg	Group_size	Home_range_ha	Diet_categ	
Alouatta_macconelli	6.15	8.2	53	1	
Ateles_paniscus	7.90	2.5	224	3	
Cabassous_unicinctus 	4.80	1	101.6	5	
Chiropotes_sagulatus	3.10	21.8	336	4	
Pithecia_pithecia	1.38	3.4	103	3	
Saguinus_midas	0.54	5.7	50	4	
Saimiri_sciureus	0.90	22.5	500	4	
Sapajus_apella	2.75	14.3	429	4	
Nasua_nasua	3.79	30	166	5	
Tamandua_tetradactyla	5.52	1	380	5	
Cuniculus_paca	9.00	1	2.46	2	
Dasyprocta_leporina	3.50	1.5	5.66	3	
Dasypus_kappleri	9.50	1	7	5	
Dasypus_novemcinctus	3.50	1	3.4	5	
Eira_barbara	3.91	1.2	1420	5	
Leopardus_pardalis	11.90	1	162	6	
Leopardus_wiedii	3.25	1	2295	6	
Mazama_americana	22.80	1	100	1	
Mazama_nemorivaga	16.30	1	100	1	
Myoprocta_acouchy	0.95	1	1.5	3	
Myrmecophaga_tridactyla	22.33	1	2500	5	
Panthera_onca	80.00	1	20650	6	
Pecari_tajacu	21.27	4.5	500	4	
Priodontes_maximus	38.00	1	726.5	5	
Puma_concolor	51.60	1	3177	6	
Puma_yaguaroundi	6.75	1	10000	6	
Tapirus_terrestris	160.00	1	275	1	
Tayassu_pecari	32.23	500	2970	4	
