area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Alouatta_macconelli,species
Ateles_paniscus,species
Cabassous,species
Chiropotes_sagulatus,species
Pithecia_pithecia,species
Saguinus_midas,species
Saimiri_sciureus,species
Sapajus_apella,species
Nasua_nasua,species
Tamandua_tetradactyla,species
Cuniculus_paca,species
Dasyprocta_leporina,species
Dasypus_kappleri,species
Dasypus_novemcinctus,species
Eira_barbara,species
Leopardus_pardalis,species
Leopardus_wiedii,species
Mazama_americana,species
Mazama_nemorivaga,species
Myoprocta_acouchy,species
Myrmecophaga_tridactyla,species
Panthera_onca,species
Pecari_tajacu,species
Priodontes_maximus,species
Puma_concolor,species
Puma_yaguaroundi,species
Tapirus_terrestris,species
Tayassu_pecari,species
