Taxonomic_group	site_code	normalised_degree	nested_contribution	site_area	degree
sm	Is7	0.1	1.0353514	12.37	2
sm	Is2	0.25	1.0359362	2.17	5
sm	Is11	0.15	1.8645602	53.2	3
sm	Is19	0.5	1.4339036	627.46	10
sm	Is17	0.3	0.6400313	218.74	6
sm	Is8	0.3	0.1500516	17.45	6
sm	Is1	0.1	0.5192958	1.52	2
sm	Is16	0.5	1.1182848	193	10
sm	Is21	0.8	2.1173218	744.8	16
sm	Is6	0.25	0.7642232	9.23	5
sm	Is20	0.6	2.1618967	669.88	12
sm	Is14	0.3	1.5726406	97.42	6
sm	Is10	0.2	1.5458445	32.83	4
sm	Is9	0.4	2.0772265	21.21	8
sm	Is3	0.15	1.1495213	3.31	3
sm	Is5	0.1	-0.6909414	5.85	2
sm	Is15	0.35	0.8480552	110.03	7
sm	I22	0.55	2.2544542	1459.7	11
sm	Is12	0.25	1.2100306	70.8	5
sm	Is13	0.2	1.4296117	77.89	4
sm	Is4	0.2	1.0247639	3.52	4
sm	Is18	0.5	1.3869097	484.03	10
sm	CF1	0.8	1.8959712	14596.99	16
sm	CF2	0.45	2.5139412	14596.99	9
sm	CF3	0.65	1.1942852	14596.99	13
liz	Is7	0.21428571	1.514141	12.37	3
liz	Is2	0.14285714	1.9357705	2.17	2
liz	Is11	0.42857143	0.7057317	53.2	6
liz	Is19	0.64285714	1.0446117	627.46	9
liz	Is17	0.64285714	0.5761777	218.74	9
liz	Is8	0.42857143	0.6145277	17.45	6
liz	Is1	0.07142857	1.9087317	1.52	1
liz	Is16	0.71428571	1.6554071	193	10
liz	Is21	0.64285714	0.5201612	744.8	9
liz	Is6	0.21428571	-0.4759286	9.23	3
liz	Is20	0.78571429	1.5639336	669.88	11
liz	Is14	0.57142857	1.7001482	97.42	8
liz	Is10	0.42857143	0.31842	32.83	6
liz	Is9	0.35714286	1.4650785	21.21	5
liz	Is3	0.21428571	0.7816055	3.31	3
liz	Is5	0.35714286	0.8656648	5.85	5
liz	Is15	0.35714286	1.3487566	110.03	5
liz	I22	0.71428571	1.1578565	1459.7	10
liz	Is12	0.28571429	1.0662159	70.8	4
liz	Is13	0.42857143	0.926179	77.89	6
liz	Is4	0.07142857	1.9672998	3.52	1
liz	Is18	0.21428571	1.3788081	484.03	3
liz	CF1	0.5	0.2024494	14596.99	7
liz	CF2	0.57142857	0.6665688	14596.99	8
liz	CF3	0.64285714	0.553425	14596.99	9
mid.large	Is7	0.25	2.311649	12.37	7
mid.large	Is2	0.10714286	2.19703	2.17	3
mid.large	Is11	0.39285714	2.31221	53.2	11
mid.large	Is19	0.64285714	2.428878	627.46	18
mid.large	Is17	0.64285714	2.385762	218.74	18
mid.large	Is8	0.25	2.061874	17.45	7
mid.large	Is1	0.03571429	3.548053	1.52	1
mid.large	Is16	0.60714286	3.131186	193	17
mid.large	Is21	0.82142857	1.570943	744.8	23
mid.large	Is6	0.17857143	2.97544	9.23	5
mid.large	Is20	0.82142857	1.964685	669.88	23
mid.large	Is14	0.39285714	1.547343	97.42	11
mid.large	Is10	0.32142857	2.141307	32.83	9
mid.large	Is9	0.25	1.869751	21.21	7
mid.large	Is3	0.14285714	2.653305	3.31	4
mid.large	Is5	0.07142857	2.5009	5.85	2
mid.large	Is15	0.57142857	2.704469	110.03	16
mid.large	I22	0.82142857	1.735213	1459.7	23
mid.large	Is12	0.5	2.052494	70.8	14
mid.large	Is13	0.39285714	1.502039	77.89	11
mid.large	Is4	0.07142857	2.576824	3.52	2
mid.large	Is18	0.85714286	2.212639	484.03	24
mid.large	CF1	0.89285714	2.122916	14596.99	25
mid.large	CF2	0.89285714	1.569266	14596.99	25
mid.large	CF3	0.92857143	2.209815	14596.99	26
birds	Is7	0.04201681	1.4427418	12.37	5
birds	Is2	0.02521008	1.8322781	2.17	3
birds	Is11	0.09243697	2.4970333	53.2	11
birds	Is19	0.22689076	2.3175743	627.46	27
birds	Is17	0.19327731	1.9479619	218.74	23
birds	Is8	0.14285714	3.2203793	17.45	17
birds	Is1	0.05042017	0.1995503	1.52	6
birds	Is16	0.25210084	2.3174576	193	30
birds	Is21	0.36134454	3.3425097	744.8	43
birds	Is6	0.07563025	2.2004516	9.23	9
birds	Is20	0.25210084	2.0487906	669.88	30
birds	Is14	0.1092437	2.1610838	97.42	13
birds	Is10	0.10084034	1.0874514	32.83	12
birds	Is9	0.09243697	2.603026	21.21	11
birds	Is3	0.03361345	1.2189178	3.31	4
birds	Is5	0.11764706	1.7544511	5.85	14
birds	Is15	0.16806723	2.6087989	110.03	20
birds	I22	0.21848739	2.1651188	1459.7	26
birds	Is12	0.14285714	1.6041564	70.8	17
birds	Is13	0.10084034	1.9935448	77.89	12
birds	Is4	0.05042017	1.4270472	3.52	6
birds	Is18	0.2605042	3.8694807	484.03	31
birds	CF1	0.33613445	4.1960187	14596.99	40
birds	CF2	0.57983193	6.938002	14596.99	69
birds	CF3	0.23529412	1.6484303	14596.99	28
frogs	Is7	0.25714286	1.6712391	12.37	9
frogs	Is2	0.25714286	2.2270387	2.17	9
