taxa	species	body_size	body_size_st	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph
sm	Caluromys_philander	144.5	11.1252634	6	0.24	0.087344029	1.48444741	0.006125612
sm	Didelphis_marsupialis	1298.845652	100	11	0.44	0.006535948	0.64277117	0.027418758
sm	Euryoryzomys_macconnelli	69.34	5.338586605	4	0.16	0	0.49773041	0.003261569
sm	Guerlinguetus_aestuans	170.1666667	13.10137709	3	0.12	0.087344029	1.95924737	0.001549008
sm	Hylaeamys_megacephalus	51.25288462	3.946033506	17	0.68	0.087344029	0.73765494	0.121423451
sm	Isotrix_pagurus	146.3	11.263848	4	0.16	0	0.89934235	0.002912466
sm	Marmosa_demerarae	94.57984496	7.281838671	19	0.76	0.087344029	3.26194076	0.111773071
sm	Marmosa_murina	43.21111111	3.326885765	10	0.4	0.087344029	-0.66054317	0.041251895
sm	Marmosops_parvidens	21.64	1.66609481	12	0.48	0.087344029	2.55752925	0.029094976
sm	Marmosops_pinheiroi	27.5333	2.119828477	5	0.2	0.087344029	2.02013629	0.004177118
sm	Mesomys_hispidus	109.462963	8.427711394	13	0.52	0.087344029	-0.58205188	0.056825351
sm	Metachirunus_nudicaudatus	288	22.17353537	7	0.28	0.006535948	1.58111357	0.006625706
sm	Monodelphis_arlindoi	87.16666667	6.711087383	6	0.24	0.006535948	0.64235783	0.00834341
sm	Neacomys_paracou	17.431	1.34203783	1	0.04	0	1.13290421	0
sm	Neacomys_guianae	10.14286	0.78091342	2	0.08	0.006535948	2.12228261	0.000236798
sm	Oecomys_sp.1	45.28	3.486172505	15	0.6	0.087344029	3.90778099	0.090217397
sm	Oecomys_cf._rex	30.4	2.340539844	5	0.2	0.006535948	0.05814735	0.011983125
sm	Philander_opossum	411.28	31.66504037	18	0.72	0.087344029	2.23353819	0.102514375
sm	Proechimys_sp.	213.8810811	16.4670129	15	0.6	0.087344029	2.9708139	0.054400584
sm	Rhipidomys_leucodactylus	46.5	3.580102064	6	0.24	0.006535948	1.0986584	0.005911841
liz	Kentropyx_spp.	95	21.11111111	25	1	0.13492063	3.0198419	0.292375401
liz	Arthrosaura_reticulata	54.3	12.06666667	20	0.8	0.13492063	2.1021174	0.121043344
liz	Leposoma_spp.	33.8	7.511111111	15	0.6	0.13492063	1.5075624	0.057247327
liz	Gonatodes_humeralis	37.3	8.288888889	10	0.4	0.03703704	0.668705	0.022442333
liz	Ameiva_ameiva	170.5	37.88888889	18	0.72	0.13492063	2.1426791	0.085114143
liz	Copeoglossum_nigropuntactum	95	21.11111111	10	0.4	0.07936508	1.0266484	0.024817296
liz	Norops_spp.	45.1	10.02222222	8	0.32	0.13492063	1.093946	0.017843211
liz	Plica_umbra	87.5	19.44444444	16	0.64	0.13492063	1.0630083	0.073353242
liz	Pseudogonatodes_guianensis	30	6.666666667	10	0.4	0.03703704	1.1316732	0.020288039
liz	Amphisbaena_fuliginosa	450	100	5	0.2	0	0.8231221	0.003206857
liz	Chatogekus_amazonicus	21.5	4.777777778	5	0.2	0.03703704	1.5207686	0.004232978
liz	Ptychoglossus_brevifrontalis	62	13.77777778	1	0.04	0	1.1785027	0
liz	Tetrioscincus_agilis	46.1	10.24444444	5	0.2	0	0.8789898	0.003498135
liz	Bachia_panoplia	82	18.22222222	1	0.04	0	0.4850631	0
mid.large	Alouatta_macconelli	6.15	3.8409375	20	0.8	0.06666667	1.6329885	0.058868685
mid.large	Ateles_paniscus	7.9	4.9375625	17	0.68	0.06666667	1.858602	0.023776518
mid.large	Cabassous	4.8	3	1	0.04	0	-0.3773966	0
mid.large	Chiropotes_sagulatus	3.1	1.9375	13	0.52	0.06666667	1.9061145	0.009616343
mid.large	Pithecia_pithecia	1.38	0.8596875	11	0.44	0	1.3022314	0.005579457
mid.large	Saguinus_midas	0.54	0.3375	9	0.36	0	1.8365911	0.002621082
mid.large	Saimiri_sciureus	0.9	0.5625	10	0.4	0.06666667	1.7274798	0.005105814
mid.large	Sapajus_apella	2.75	1.71875	17	0.68	0.06666667	2.0442168	0.023164831
mid.large	Nasua_nasua	3.79	2.371125	6	0.24	0	1.7508275	0.00089554
mid.large	Tamandua_tetradactyla_	5.52	3.4469375	8	0.32	0.06666667	0.7156364	0.005158683
mid.large	Cuniculus_paca	9	5.625	19	0.76	0.06666667	1.6910651	0.045809972
mid.large	Dasyprocta_leporina	3.5	2.1875	15	0.6	0.06666667	1.8670931	0.02285116
mid.large	Dasypus_kappleri	9.5	5.9375	4	0.16	0	0.4161049	0.000778608
mid.large	Dasypus_novemcinctus_	3.5	2.1875	25	1	0.06666667	2.5240507	0.13947007
mid.large	Eira_barbara	3.91	2.44375	9	0.36	0	1.5915333	0.002980671
mid.large	Leopardus_pardalis	11.9	7.4375625	18	0.72	0.06666667	1.5196992	0.033809302
mid.large	Leopardus_wiedii_	3.25	2.03125	8	0.32	0	1.6407829	0.002627136
mid.large	Mazama_americana	22.8	14.2498125	13	0.52	0.06666667	1.8776684	0.010525272
mid.large	Mazama_nemorivaga	16.3	10.1875625	10	0.4	0	1.5344935	0.004276113
mid.large	Myoprocta_acouchy	0.95	0.59375	21	0.84	0.06666667	2.5489108	0.047206707
mid.large	Myrmecophaga_tridactyla_	22.33	13.95825	14	0.56	0.06666667	2.0270535	0.014030782
mid.large	Panthera_onca	80	50	11	0.44	0	1.6359934	0.006175103
