taxa	species	degree	normalized.degree	betweenness	nested_contribution	betweenness_igraph	reproductive_mode	habitat_diversity	body_size_mm	body_size_relativized
frogs	Adenomera_andreae	18	0.72	0.052938217	2.2902506	0.063084143	32	1	28	11.618257
frogs	Adenomera_hylaedactyla	7	0.28	0.03093747	0.9758438	0.010208103	32	2	30	12.448133
frogs	Ameerega_hahneli	6	0.24	0.042147299	1.6646096	0.00953475	20	1	23	9.543568
frogs	Ameerega_trivittata	20	0.8	0.093384645	2.7024455	0.082844412	20	1	49.5	20.539419
frogs	Anomaloglossus_stepheni	12	0.48	0.111715379	1.135095	0.08240645	21	1	18.24	7.568465
frogs	Atelopus_hoogmoedi	2	0.08	0.000755051	0.7928137	0.000364927	1	2	41.2	17.095436
frogs	Boana_boans	12	0.48	0.124634645	2.445385	0.058751891	4	3	132	54.771784
frogs	Boana_calcarata	11	0.44	0.034360656	1.8031201	0.022256916	1	3	61	25.311203
frogs	Boana_cinerascens	14	0.56	0.036164976	1.0406659	0.035261699	1	2	36.2	15.020747
frogs	Boana_fasciata	3	0.12	0.000755051	0.7494947	0.000705998	1	2	51.2	21.244813
frogs	Boana_lanciformis	3	0.12	0.007601076	1.4000761	0.00126178	1	2	94	39.004149
frogs	Ceratophrys_cornuta	3	0.12	0.029318947	1.8707494	0.003039117	1	1	120	49.792531
frogs	Chiasmocleis_shudikarensis	3	0.12	0.013753788	-0.1395512	0.002190042	1	3	32	13.278008
frogs	Dendropsophus_brevifrons	20	0.8	0.093384645	2.7075282	0.088568538	24	3	25	10.373444
frogs	Dendropsophus_minusculus	19	0.76	0.074509645	1.9928238	0.084982562	1	2	24	9.958506
frogs	Dendropsophus_parviceps	1	0.04	0	2.0087968	0	1	2	27	11.203319
frogs	Elachistocleis_bicolor	8	0.32	0.034360656	1.5760698	0.013165556	1	3	43	17.842324
frogs	Leptodactylus_cf_knudseni	4	0.16	0.008729289	-0.584793	0.003930904	13	3	51.6	21.410788
frogs	Leptodactylus_cf_pentadactylus	10	0.4	0.052938217	2.4469358	0.01997153	13	2	165	68.46473
frogs	Leptodactylus_longirostris	1	0.04	0	0.7701433	0	13	3	185	76.763485
frogs	Leptodactylus_stenodema	1	0.04	0	0.6224141	0	13	3	146	60.580913
frogs	Osteocephalus_oophagus	6	0.24	0.017586222	0.4348194	0.005965856	6	2	62.7	26.016598
frogs	Osteocephalus_taurinus	4	0.16	0.013134667	1.2512441	0.002806151	1	3	103.9	43.112033
frogs	Phyllomedusa_vaillantii	1	0.04	0	0.3899096	0	24	3	84	34.854772
frogs	Pristimantis_fenestratus	5	0.2	0.032781104	1.6931966	0.005805256	23	2	55	22.821577
frogs	Pristimantis_ockendeni	8	0.32	0.01955258	-0.4203026	0.008957807	23	2	29.5	12.240664
frogs	Pristimantis_zimmermanae	19	0.76	0.07014655	2.1858538	0.083515047	23	2	25.8	10.705394
frogs	Rhaebo_guttatus	1	0.04	0	-1.2175804	0	1	2	140	58.091286
frogs	Rhinella_marina	1	0.04	0	-2.4507409	0	1	2	241	100
frogs	Rhinella_merianae	1	0.04	0	1.1419342	0	1	2	90	37.344398
frogs	Scinax_garbei	1	0.04	0	-0.4194914	0	1	2	49.1	20.373444
frogs	Scinax_ruber	2	0.08	0.002541344	1.0292489	0.000387204	1	2	45	18.672199
frogs	Synapturanus_mirandaribeiroi	4	0.16	0.001867882	0.9275193	0.001441897	23	3	42	17.427386
frogs	Trachycephalus_coriaceus	1	0.04	0	-0.6329201	0	1	3	66	27.385892
frogs	Trachycephalus_resinifictrix	1	0.04	0	0.5207559	0	26	2	88	36.514523
