taxa	connect_r1	mod_r1	nest_r1	robustness_LL_r1_large_to_small 
sm	0.3768421	0.2156612	56.85227	0.7148145
sm	0.358	0.2221841	58.62574	0.7347168
sm	0.358	0.217721	54.22255	0.7399427
sm	0.358	0.2092943	54.11576	0.7300648
sm	0.3768421	0.2003683	58.13815	0.7787045
sm	0.3768421	0.2086701	59.98267	0.7775406
sm	0.3768421	0.2127899	59.69855	0.7047578
sm	0.358	0.2109485	54.96233	0.7548355
sm	0.358	0.2192815	60.59917	0.7816254
sm	0.358	0.1943135	55.89622	0.7168263
sm	0.358	0.2128835	55.96117	0.7367108
sm	0.358	0.197497	54.86492	0.7496234
sm	0.3768421	0.2169408	59.55789	0.7896944
sm	0.358	0.207016	59.21375	0.7188787
sm	0.358	0.1923785	56.79179	0.7059669
sm	0.358	0.2239943	52.36074	0.7509902
sm	0.358	0.211323	55.14312	0.7519253
sm	0.3768421	0.207016	65.30606	0.7557741
sm	0.358	0.2223401	56.5645	0.7137923
sm	0.358	0.2073281	54.28508	0.7685823
sm	0.3768421	0.2266159	54.80174	0.7776147
sm	0.358	0.2184077	55.79749	0.7473613
sm	0.358	0.2109797	54.54414	0.7210026
sm	0.358	0.2159421	54.05176	0.7736989
sm	0.358	0.2146	61.00394	0.7758274
sm	0.3768421	0.2137574	56.22252	0.7496219
sm	0.358	0.2134453	54.05606	0.7177289
sm	0.358	0.2150682	56.74758	0.7876857
sm	0.358	0.2081396	57.32332	0.7593473
sm	0.358	0.2108548	61.24482	0.7935433
sm	0.358	0.1987454	59.21712	0.7719886
sm	0.358	0.2016791	55.07441	0.7435534
sm	0.358	0.1935645	58.95618	0.7199354
sm	0.358	0.2191879	54.066	0.7298863
sm	0.358	0.2043944	59.69906	0.6597039
sm	0.358	0.2082644	58.20095	0.760994
sm	0.3768421	0.219937	62.29837	0.7817307
sm	0.358	0.2153803	52.85741	0.7717079
sm	0.358	0.2041759	57.83607	0.7545514
sm	0.358	0.2178459	59.36592	0.7697019
sm	0.358	0.2082644	59.17549	0.7537537
sm	0.3768421	0.2092319	56.66405	0.7757748
sm	0.358	0.2138822	52.52898	0.7357623
sm	0.3768421	0.2240879	57.38576	0.819701
sm	0.358	0.2136637	60.37589	0.7978253
sm	0.3768421	0.2072345	62.67776	0.7937027
sm	0.358	0.2214038	55.12982	0.7897223
sm	0.358	0.2108861	54.70623	0.7597951
sm	0.358	0.2155676	59.48175	0.7919021
sm	0.358	0.2265847	58.4028	0.697422
sm	0.358	0.2103555	53.45389	0.765652
sm	0.358	0.2152555	56.46355	0.7096413
sm	0.358	0.2030523	54.62122	0.7266208
sm	0.358	0.2056428	60.5235	0.7557024
sm	0.358	0.2028339	55.76353	0.7221181
sm	0.358	0.216972	56.45735	0.7616424
sm	0.358	0.2146	56.11422	0.763421
sm	0.358	0.2116663	55.46293	0.7266324
sm	0.358	0.2064854	56.0753	0.759244
sm	0.358	0.2048625	53.54231	0.7937009
sm	0.358	0.207609	57.54801	0.8199102
sm	0.3768421	0.2178771	55.75541	0.774993
sm	0.358	0.2200306	54.26896	0.7448375
sm	0.358	0.1998689	55.35059	0.7326446
sm	0.358	0.195125	55.07167	0.731923
sm	0.358	0.2098561	55.88546	0.7996889
sm	0.3768421	0.2140695	59.42256	0.7244738
sm	0.358	0.206423	57.42466	0.7057613
sm	0.358	0.2102619	55.89438	0.8028925
sm	0.358	0.2063294	57.78694	0.823976
sm	0.358	0.2135701	58.07544	0.7715308
