forest_area_ha	remain.sps	taxa
14596.99	100	sm
14596.99	100	sm
14596.99	100	sm
1459.7	100	sm
744.8	95	sm
669.88	85	sm
627.46	85	sm
484.03	80	sm
218.74	75	sm
193	65	sm
110.03	65	sm
97.42	65	sm
77.89	65	sm
70.8	65	sm
53.2	65	sm
32.83	65	sm
21.21	60	sm
17.45	45	sm
12.37	40	sm
9.23	35	sm
5.85	30	sm
3.52	25	sm
3.31	25	sm
2.17	10	sm
1.52	0	sm
14596.99	100	liz
14596.99	100	liz
14596.99	100	liz
1459.7	100	liz
744.8	92.85714286	liz
669.88	92.85714286	liz
627.46	92.85714286	liz
484.03	92.85714286	liz
218.74	92.85714286	liz
193	78.57142857	liz
110.03	78.57142857	liz
97.42	71.42857143	liz
77.89	71.42857143	liz
70.8	71.42857143	liz
53.2	71.42857143	liz
32.83	64.28571429	liz
21.21	64.28571429	liz
17.45	64.28571429	liz
12.37	64.28571429	liz
9.23	50	liz
5.85	28.57142857	liz
3.52	28.57142857	liz
3.31	14.28571429	liz
2.17	7.142857143	liz
1.52	0	liz
14596.99	100	mid.large
14596.99	100	mid.large
14596.99	100	mid.large
1459.7	96.42857143	mid.large
744.8	96.42857143	mid.large
669.88	96.42857143	mid.large
627.46	96.42857143	mid.large
484.03	85.71428571	mid.large
218.74	82.14285714	mid.large
193	82.14285714	mid.large
110.03	78.57142857	mid.large
97.42	75	mid.large
77.89	67.85714286	mid.large
70.8	57.14285714	mid.large
53.2	46.42857143	mid.large
32.83	39.28571429	mid.large
21.21	32.14285714	mid.large
17.45	32.14285714	mid.large
12.37	25	mid.large
9.23	25	mid.large
5.85	21.42857143	mid.large
3.52	21.42857143	mid.large
3.31	10.71428571	mid.large
2.17	3.571428571	mid.large
1.52	0	mid.large
14596.99	100	birds
14596.99	87.39495798	birds
14596.99	81.51260504	birds
1459.7	80.67226891	birds
744.8	73.1092437	birds
669.88	70.58823529	birds
627.46	68.90756303	birds
484.03	59.66386555	birds
218.74	55.46218487	birds
193	49.57983193	birds
110.03	43.69747899	birds
97.42	43.69747899	birds
77.89	42.01680672	birds
70.8	39.49579832	birds
53.2	38.65546218	birds
32.83	36.97478992	birds
21.21	31.93277311	birds
17.45	24.3697479	birds
12.37	23.52941176	birds
9.23	20.16806723	birds
5.85	11.76470588	birds
3.52	10.08403361	birds
3.31	7.56302521	birds
2.17	5.042016807	birds
1.52	0	birds
14596.99	100	frogs
14596.99	94.28571429	frogs
14596.99	91.42857143	frogs
1459.7	85.71428571	frogs
744.8	77.14285714	frogs
669.88	77.14285714	frogs
627.46	74.28571429	frogs
484.03	74.28571429	frogs
218.74	71.42857143	frogs
193	68.57142857	frogs
110.03	60	frogs
97.42	60	frogs
77.89	57.14285714	frogs
70.8	51.42857143	frogs
53.2	51.42857143	frogs
32.83	51.42857143	frogs
21.21	48.57142857	frogs
17.45	42.85714286	frogs
12.37	40	frogs
9.23	40	frogs
5.85	37.14285714	frogs
3.52	34.28571429	frogs
3.31	34.28571429	frogs
2.17	20	frogs
1.52	0	frogs
14596.99	100	bees
14596.99	95.83333333	bees
14596.99	95.83333333	bees
1459.7	91.66666667	bees
744.8	91.66666667	bees
669.88	91.66666667	bees
627.46	91.66666667	bees
484.03	87.5	bees
218.74	87.5	bees
193	87.5	bees
110.03	87.5	bees
97.42	87.5	bees
77.89	87.5	bees
70.8	87.5	bees
53.2	87.5	bees
32.83	79.16666667	bees
21.21	79.16666667	bees
17.45	75	bees
12.37	54.16666667	bees
9.23	54.16666667	bees
5.85	54.16666667	bees
3.52	50	bees
3.31	16.66666667	bees
2.17	12.5	bees
1.52	0	bees
14596.99	100	trees
14596.99	99.70149254	trees
14596.99	97.01492537	trees
1459.7	95.2238806	trees
744.8	92.53731343	trees
669.88	91.34328358	trees
627.46	88.65671642	trees
484.03	85.37313433	trees
218.74	82.98507463	trees
193	80	trees
110.03	78.20895522	trees
97.42	74.32835821	trees
77.89	69.25373134	trees
70.8	64.47761194	trees
53.2	62.3880597	trees
32.83	60	trees
21.21	57.91044776	trees
17.45	50.14925373	trees
12.37	44.17910448	trees
9.23	39.40298507	trees
5.85	35.2238806	trees
3.52	31.64179104	trees
3.31	26.26865672	trees
2.17	14.62686567	trees
1.52	2.089552239	trees
14596.99	96.96969697	beetles
14596.99	84.84848485	beetles
14596.99	81.81818182	beetles
1459.7	81.81818182	beetles
744.8	81.81818182	beetles
669.88	63.63636364	beetles
627.46	60.60606061	beetles
484.03	60.60606061	beetles
218.74	60.60606061	beetles
193	36.36363636	beetles
110.03	36.36363636	beetles
97.42	30.3030303	beetles
77.89	27.27272727	beetles
53.2	24.24242424	beetles
32.83	18.18181818	beetles
21.21	15.15151515	beetles
17.45	6.060606061	beetles
5.85	3.03030303	beetles
3.52	0	beetles
