name	forest_area_ha	remain.sps	taxa
Formiga	1.52	100	sm
Andre	2.17	100	sm
Panema	3.31	100	sm
Torem	3.52	100	sm
Pe_Torto	5.85	100	sm
Garrafa	9.23	100	sm
Abusado	12.37	100	sm
Coata	17.45	100	sm
Palhal	21.21	100	sm
Neto	32.83	100	sm
Bacaba	53.2	100	sm
Relogio	70.8	100	sm
Sapupara	77.89	100	sm
Moita	97.42	100	sm
Pontal	110.03	100	sm
Furo	193	100	sm
Cipoal	218.74	100	sm
Tristeza	484.03	100	sm
Beco_Catitu	627.46	100	sm
Mascote	669.88	95	sm
Fuzaca	744.8	95	sm
Porto_seguro	1459.7	95	sm
TF1	14596.99	80	sm
TF2	14596.99	65	sm
TF3	14596.99	0	sm
Formiga	1.52	100	liz
Andre	2.17	100	liz
Panema	3.31	100	liz
Torem	3.52	100	liz
Pe_Torto	5.85	100	liz
Garrafa	9.23	100	liz
Abusado	12.37	100	liz
Coata	17.45	100	liz
Palhal	21.21	100	liz
Neto	32.83	100	liz
Bacaba	53.2	100	liz
Relogio	70.8	100	liz
Sapupara	77.89	100	liz
Moita	97.42	92.85714286	liz
Pontal	110.03	92.85714286	liz
Furo	193	85.71428571	liz
Cipoal	218.74	85.71428571	liz
Tristeza	484.03	85.71428571	liz
Beco_Catitu	627.46	85.71428571	liz
Mascote	669.88	85.71428571	liz
Fuzaca	744.8	85.71428571	liz
Porto_seguro	1459.7	78.57142857	liz
TF1	14596.99	71.42857143	liz
TF2	14596.99	64.28571429	liz
TF3	14596.99	0	liz
Formiga	1.52	100	mid.large
Andre	2.17	100	mid.large
Panema	3.31	100	mid.large
Torem	3.52	100	mid.large
Pe_Torto	5.85	100	mid.large
Garrafa	9.23	100	mid.large
Abusado	12.37	100	mid.large
Coata	17.45	100	mid.large
Palhal	21.21	100	mid.large
Neto	32.83	100	mid.large
Bacaba	53.2	100	mid.large
Relogio	70.8	100	mid.large
Sapupara	77.89	100	mid.large
Moita	97.42	100	mid.large
Pontal	110.03	96.42857143	mid.large
Furo	193	96.42857143	mid.large
Cipoal	218.74	96.42857143	mid.large
Tristeza	484.03	96.42857143	mid.large
Beco_Catitu	627.46	96.42857143	mid.large
Mascote	669.88	96.42857143	mid.large
Fuzaca	744.8	96.42857143	mid.large
Porto_seguro	1459.7	96.42857143	mid.large
TF1	14596.99	96.42857143	mid.large
TF2	14596.99	92.85714286	mid.large
TF3	14596.99	0	mid.large
Formiga	1.52	100	birds
Andre	2.17	100	birds
Panema	3.31	99.15966387	birds
Torem	3.52	97.4789916	birds
Pe_Torto	5.85	96.63865546	birds
Garrafa	9.23	95.79831933	birds
Abusado	12.37	94.95798319	birds
Coata	17.45	93.27731092	birds
Palhal	21.21	90.75630252	birds
Neto	32.83	89.07563025	birds
Bacaba	53.2	87.39495798	birds
Relogio	70.8	87.39495798	birds
Sapupara	77.89	86.55462185	birds
Moita	97.42	86.55462185	birds
Pontal	110.03	84.87394958	birds
Furo	193	84.03361345	birds
Cipoal	218.74	83.19327731	birds
Tristeza	484.03	77.31092437	birds
