	body.size	diet	locomotion	matrix.tol
Caluromys_philander	144.5	3.5	3	0.094517958
Didelphis_marsupialis	1298.845652	3.5	2	0.807017544
Euryoryzomys_macconnelli	69.34	2.5	1	0.490196078
Guerlinguetus_aestuans	170.1666667	3.5	3	0.094517958
Hylaeamys_megacephalus	51.25288462	2.5	1	5.150406504
Isotrix_pagurus	146.3	1.5	1	0.826446281
Marmosa_demerarae	94.57984496	4.5	2	0.166666667
Marmosa_murina	43.21111111	4.5	3	12.30578512
Marmosops_parvidens	21.64	4.5	3	0.704225352
Marmosops_pinheiroi	27.5333	4.5	3	0.704225352
Mesomys_hispidus	109.462963	3.5	3	0.826446281
Metachirus_nudicaudatus	288	4.5	2	0.826446281
Monodelphis_arlindoi	87.16666667	4.5	1	2.117073171
Neacomys_paracou	17.431	2.5	1	4.89
Neacomys_guianae	10.14286	2.5	1	4.89
Oecomys_sp.1	45.28	2.5	1	1.289256198
Oecomys_cf._rex	30.4	2.5	1	1.289256198
Philander_opossum	411.28	3.5	2	1.56
Proechimys_sp.	213.8810811	2.5	1	0.377723971
Rhipidomys_leucodactylus	46.5	2.5	3	0.709251101
