area,type
Abusado,site
Andre,site
Bacaba,site
Beco_do_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo_de_Santa_Luzia,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_Seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF2,site
TF3,site
Caluromys_philander,species
Didelphis_marsupialis,species
Euryoryzomys_macconnelli,species
Guerlinguetus_aestuans,species
Hylaeamys_megacephalus,species
Isotrix_pagurus,species
Marmosa_demerarae,species
Marmosa_murina,species
Marmosops_parvidens,species
Marmosops_pinheiroi,species
Mesomys_hispidus,species
Metachirus_nudicaudatus,species
Monodelphis_arlindoi,species
Neacomys_paracou,species
Neacomys_guianae,species
Oecomys_sp.1,species
Oecomys_cf._rex,species
Philander_opossum,species
Proechimys_sp.,species
Rhipidomys_leucodactylus,species
