	wood_density	seed_mass	vertical_strat	dispersal_mode	regeneration	norm_degree	seed_mass_relativized
Abarema_jupunba	0.59	5	sub_canopy	biotically	old_growth	0.08	71.42857143
Ampelocera_edentula	0.7	6	canopy	biotically	old_growth	0.16	85.71428571
Amphirrhox_longifolia	0.71	5	sub_canopy	abiotically	old_growth	0.2	71.42857143
Anacardium_giganteum	0.45	6	canopy	biotically	long_lived_pioneer	0.32	85.71428571
Anacardium_parvifolium	0.53	6	canopy	biotically	long_lived_pioneer	0.04	85.71428571
Andira_micrantha	1	7	canopy	biotically	old_growth	0.72	100
Andira_unifoliolata	0.76	7	canopy	biotically	old_growth	0.12	100
Aniba_rosaeodora	0.73	6	canopy	biotically	long_lived_pioneer	0.2	85.71428571
Anisophyllea_manausensis	0.86	5	canopy	biotically	old_growth	0.2	71.42857143
Anomalocalyx_uleanus	1.03	5	canopy	biotically	old_growth	0.4	71.42857143
Aparisthmium_cordatum	0.39	5	sub_canopy	biotically	pioneer	0.2	71.42857143
Apeiba_echinata	0.25	3	canopy	biotically	pioneer	0.68	42.85714286
Aspidosperma_aracanga	0.75	5	emergent	abiotically	old_growth	0.08	71.42857143
Aspidosperma_nitidum	0.76	5	emergent	abiotically	old_growth	0.24	71.42857143
Astrocaryum_aculeatum	0.24	7	canopy	biotically	long_lived_pioneer	0.08	100
Astrocaryum_murumuru	0.51	6	sub_canopy	biotically	long_lived_pioneer	0.36	85.71428571
Attalea_maripa	0.33	6	sub_canopy	biotically	long_lived_pioneer	0.04	85.71428571
Bellucia_grossularioides	0.6	2	sub_canopy	both	pioneer	0.04	28.57142857
Bellucia_imperialis	0.54	2	sub_canopy	both	pioneer	0.04	28.57142857
Bertholletia_excelsa	0.64	6	emergent	biotically	old_growth	0.24	85.71428571
Bocageopsis_multiflora	0.64	5	canopy	biotically	old_growth	0.48	71.42857143
Bocoa_viridiflora	0.84	6	sub_canopy	biotically	old_growth	0.84	85.71428571
Borojoa_claviflora	0.52	5	sub_canopy	biotically	old_growth	0.04	71.42857143
Brosimum_guianense	0.84	5	canopy	biotically	old_growth	0.08	71.42857143
Brosimum_parinarioides	0.63	5	canopy	biotically	old_growth	0.68	71.42857143
Brosimum_rubescens	0.83	5	canopy	biotically	old_growth	0.6	71.42857143
Buchenavia_grandis	0.76	6	canopy	biotically	old_growth	0.24	85.71428571
Buchenavia_guianensis	0.75	6	canopy	biotically	old_growth	0.12	85.71428571
Buchenavia_parvifolia	0.82	6	canopy	biotically	old_growth	0.2	85.71428571
Byrsonima_chrysophylla	0.65	6	canopy	biotically	old_growth	0.52	85.71428571
Byrsonima_crispa	0.65	6	canopy	biotically	old_growth	0.04	85.71428571
Calycolpus_goetheanus	0.8	7	canopy	biotically	pioneer	0.52	100
Carapa_guianensis	0.57	7	canopy	biotically	long_lived_pioneer	0.16	100
Cariniana_micrantha	0.59	3	emergent	biotically	old_growth	0.64	42.85714286
Caryocar_glabrum	0.68	7	canopy	biotically	old_growth	0.48	100
Caryocar_villosum	0.76	7	canopy	biotically	old_growth	0.12	100
Casearia_javitensis	0.75	4	canopy	biotically	long_lived_pioneer	0.16	57.14285714
Casearia_manausensis	0.68	4	canopy	biotically	long_lived_pioneer	0.12	57.14285714
Casearia_pitumba	0.73	4	canopy	biotically	long_lived_pioneer	0.04	57.14285714
Catostemma_albuquerquei	0.69	7	canopy	biotically	old_growth	0.52	100
Cecropia_purpurascens	0.32	2	canopy	biotically	pioneer	0.2	28.57142857
Cecropia_sciadophylla	0.39	2	canopy	biotically	pioneer	0.68	28.57142857
Chimarrhis_barbata	0.71	5	canopy	biotically	old_growth	0.12	71.42857143
Chromolucuma_rubiflora	0.73	6	canopy	biotically	old_growth	0.04	85.71428571
Chrysophyllum_amazonicum	0.83	6	canopy	biotically	old_growth	0.04	85.71428571
Chrysophyllum_sanguinolentum_balata	0.67	6	canopy	biotically	old_growth	0.24	85.71428571
Clarisia_racemosa	0.59	6	canopy	biotically	long_lived_pioneer	0.2	85.71428571
Coccoloba_mollis	0.68	4	sub_canopy	biotically	pioneer	0.04	57.14285714
Conceveiba_guianensis	0.54	5	sub_canopy	biotically	old_growth	0.08	71.42857143
Cordia_exaltata	0.4	5	sub_canopy	biotically	pioneer	0.64	71.42857143
Corythophora_alta	0.71	5	canopy	biotically	old_growth	0.28	71.42857143
Corythophora_rimosa	0.8	5	canopy	biotically	old_growth	0.04	71.42857143
Couepia_canomensis	0.81	6	canopy	both	old_growth	0.04	85.71428571
Couepia_robusta	0.81	6	canopy	both	old_growth	0.52	85.71428571
Couma_guianensis	0.47	5	canopy	biotically	long_lived_pioneer	0.16	71.42857143
Couratari_stellata	0.63	5	emergent	abiotically	long_lived_pioneer	0.16	71.42857143
Coussapoa_orthoneura	0.48	2	canopy	biotically	long_lived_pioneer	0.04	28.57142857
Croton_lanjouwensis	0.62	4	sub_canopy	abiotically	pioneer	0.6	57.14285714
Cupania_scrobiculata	0.63	5	sub_canopy	biotically	long_lived_pioneer	0.04	71.42857143
Cybianthus_guyanensis	0.59	6	sub_canopy	biotically	long_lived_pioneer	0.08	85.71428571
Dinizia_excelsa	0.94	5	emergent	abiotically	long_lived_pioneer	0.2	71.42857143
Diospyros_cavalcantei	0.46	5	sub_canopy	abiotically	long_lived_pioneer	0.12	71.42857143
Diospyros_guianensis	0.73	5	sub_canopy	abiotically	long_lived_pioneer	0.44	71.42857143
