area,type
Abusado,site
Andre,site
Bacaba,site
Beco_Catitu,site
Cipoal,site
Coata,site
Formiga,site
Furo,site
Fuzaca,site
Garrafa,site
Mascote,site
Moita,site
Neto,site
Palhal,site
Panema,site
Pe_Torto,site
Pontal,site
Porto_seguro,site
Relogio,site
Sapupara,site
Torem,site
Tristeza,site
TF1,site
TF3,site
TF2,site
Abarema_jupunba,species
Ampelocera_edentula,species
Amphirrhox_longifolia,species
Anacardium_giganteum,species
Anacardium_parvifolium,species
Andira_micrantha,species
Andira_unifoliolata,species
Aniba_rosaeodora,species
Anisophyllea_manausensis,species
Anomalocalyx_uleanus,species
Aparisthmium_cordatum,species
Apeiba_echinata,species
Aspidosperma_aracanga,species
Aspidosperma_nitidum,species
Astrocaryum_aculeatum,species
Astrocaryum_murumuru,species
Attalea_maripa,species
Bellucia_grossularioides,species
Bellucia_imperialis,species
Bertholletia_excelsa,species
Bocageopsis_multiflora,species
Bocoa_viridiflora,species
Borojoa_claviflora,species
Brosimum_guianense,species
Brosimum_parinarioides,species
Brosimum_rubescens,species
Buchenavia_grandis,species
Buchenavia_guianensis,species
Buchenavia_parvifolia,species
Byrsonima_chrysophylla,species
Byrsonima_crispa,species
Calycolpus_goetheanus,species
Carapa_guianensis,species
Cariniana_micrantha,species
Caryocar_glabrum,species
Caryocar_villosum,species
Casearia_javitensis,species
Casearia_manausensis,species
Casearia_pitumba,species
Catostemma_albuquerquei,species
Cecropia_purpurascens,species
Cecropia_sciadophylla,species
Chimarrhis_barbata,species
Chromolucuma_rubiflora,species
Chrysophyllum_amazonicum,species
Chrysophyllum_sanguinolentum_balata,species
Clarisia_racemosa,species
Coccoloba_mollis,species
Conceveiba_guianensis,species
Cordia_exaltata,species
Corythophora_alta,species
Corythophora_rimosa,species
Couepia_canomensis,species
Couepia_robusta,species
Couma_guianensis,species
Couratari_stellata,species
Coussapoa_orthoneura,species
Croton_lanjouwensis,species
Cupania_scrobiculata,species
Cybianthus_guyanensis,species
Dinizia_excelsa,species
Diospyros_cavalcantei,species
Diospyros_guianensis,species
Diplotropis_martiusii,species
Dipteryx_magnifica,species
Dipteryx_odorata,species
Duguetia_flagellaris,species
Duguetia_stelechantha,species
Duguetia_surinamensis,species
Dulacia_candida,species
Duroia_longiflora,species
Duroia_macrophylla,species
Duroia_saccifera,species
Ecclinusa_guianensis,species
Endopleura_uchi,species
Eriotheca_globosa,species
Erisma_bicolor,species
Erisma_bracteosum,species
Eschweilera_collina,species
Eschweilera_coriacea,species
Eschweilera_cyathiformis,species
Eschweilera_grandiflora,species
Eschweilera_pseudodecolorans,species
Eschweilera_romeucardosoi,species
Eschweilera_tessmannii,species
Eschweilera_truncata,species
Eschweilera_wachenheimii,species
Eugenia_cupulata,species
Eugenia_florida,species
Euterpe_precatoria,species
Fusaea_longifolia,species
Geissospermum_argenteum,species
Glycidendron_amazonicum,species
Goupia_glabra,species
Guapira_sp._1,species
Guarea_humaitensis,species
Guarea_pubescens,species
Guarea_silvatica,species
Guatteria_olivacea,species
Guatteriopsis_blepharophylla,species
Gustavia_elliptica,species
Heisteria_barbata,species
Helicostylis_scabra,species
Helicostylis_tomentosa,species
Henriettella_caudata,species
Hevea_guianensis,species
Himatanthus_sucuuba,species
Hirtella_racemosa,species
Hymenaea_intermedia,species
Hymenolobium_modestum,species
Inga_alba,species
Inga_cayennensis,species
Inga_cordatoalata,species
Inga_gracilifolia,species
Inga_grandiflora,species
Inga_marginata,species
Inga_obidensis,species
Inga_paraensis,species
Inga_splendens,species
Inga_umbratica,species
Iryanthera_juruensis,species
Iryanthera_ulei,species
Isertia_hypoleuca,species
Jacaranda_copaia,species
Jacaratia_spinosa,species
Kutchubaea_sericantha,species
Lacistema_aggregatum,species
Lacmellea_aculeata,species
Lacmellea_gracilis,species
Lacunaria_jenmanii,species
Laetia_procera,species
Lecythis_barnebeyii,species
Lecythis_prancei,species
Lecythis_zabucajo,species
Leonia_cymosa,species
Leonia_glycycarpa,species
Licania_adolphoduckei,species
Licania_bracteata,species
Licania_canescens,species
Licania_heteromorpha,species
Licania_impressa,species
Licania_micrantha,species
Licania_niloi,species
Licania_oblongifolia,species
Licania_rodriguesii,species
Licania_sothersiae,species
Licaria_guianensis,species
Licaria_martiniana,species
Licaria_rodriguesii,species
Lueheopsis_rosea,species
Mabea_angularis,species
Mabea_piriri,species
Mabea_speciosa,species
Macrolobium_limbatum,species
Macrolobium_prancei,species
Manilkara_bidentata,species
Manilkara_cavalcantei,species
Manilkara_huberi,species
Maprounea_guianensis,species
Maquira_sclerophylla,species
Marlierea_caudata,species
Marlierea_umbraticola,species
Maytenus_guianensis,species
Mezilaurus_duckei,species
Mezilaurus_itauba,species
Miconia_argyrophylla,species
Miconia_dispar,species
Miconia_eriodonta,species
Miconia_martiniana,species
Miconia_poeppigii,species
Miconia_pyrifolia,species
Micrandra_spruceana,species
Micrandropsis_scleroxylon,species
Micropholis_guyanensis,species
Micropholis_guyanensis_duckeana,species
Micropholis_guyanensis_guyanensis,species
Micropholis_splendens,species
Micropholis_venulosa,species
Micropholis_williamii,species
Minquartia_guianensis,species
Moronobea_coccinea,species
Mouriri_ficoides,species
Myrcia_amazonica,species
Myrcia_fallax,species
Myrcia_fenestrata,species
Myrcia_minutiflora,species
Myrcia_paivae,species
Naucleopsis_caloneura,species
Naucleopsis_ulei,species
Neea_oppositifolia,species
Neea_sp._1,species
Ocotea_aciphylla,species
Ocotea_cinerea,species
Ocotea_longifolia,species
Ocotea_nigrescens,species
Ocotea_olivacea,species
Oenocarpus_bacaba,species
Oenocarpus_bataua,species
Oenocarpus_minor,species
Orbignya_phalerata,species
Osteophloeum_platyspermum,species
Ouratea_discophora,species
Ouratea_odora,species
Paramachaerium_ormosioides,species
Parinari_excelsa,species
Parinari_montana,species
Parinari_parvifolia,species
Parkia_multijuga,species
Parkia_nitida,species
Parkia_pendula,species
Pausandra_macropetala,species
Paypayrola_grandiflora,species
Peltogyne_catingae,species
Peltogyne_paniculata,species
Platymiscium_duckei,species
Pogonophora_schomburgkiana,species
Poraqueiba_sericea,species
Pourouma_bicolor,species
Pourouma_cuspidata,species
Pourouma_guianensis,species
Pourouma_minor,species
Pourouma_ovata,species
Pourouma_tomentosa,species
Pourouma_villosa,species
Pouteria_anomala,species
Pouteria_caimito,species
Pouteria_cuspidata,species
Pouteria_filipes,species
Pouteria_freitasii,species
Pouteria_guianensis,species
Pouteria_minima,species
Pouteria_oppositifolia,species
Pouteria_pallens,species
Pouteria_reticulata,species
Pouteria_rostrata,species
Pouteria_stipulifera,species
Pouteria_virescens,species
Protium_altsonii,species
Protium_apiculatum,species
Protium_aracouchini,species
Protium_decandrum,species
Protium_giganteum,species
Protium_hebetatum,species
Protium_opacum,species
Protium_pilosum,species
Protium_trifoliolatum,species
Pseudolmedia_laevigata,species
Pseudolmedia_laevis,species
Pseudopiptadenia_psilostachya,species
Psidium_guineense,species
Pterocarpus_officinalis,species
Pterocarpus_rohrii,species
Qualea_paraensis,species
Quararibea_ochrocalyx,species
Quiina_amazonica,species
Rhodostemonodaphne_grandis,species
