	forest_area_ha	dist.cf_m	fire	percent_closed_canopy	lat	long
Abusado	12.37	4862	2	69.24	-1.76221	-59.67875
Andre	2.17	10679	2	88.24	-1.58461	-59.87198
Bacaba	53.2	3714	2	67.51	-1.50413	-59.82236
Beco_Catitu	627.46	5556	2	84.94	-1.73954	-59.705
Cipoal	218.74	5580	2	74.67	-1.6983	-59.78477
Coata	17.45	6646	2	81.63	-1.48824	-59.78702
Formiga	1.52	5017	2	72.73	-1.83338	-59.42115
Furo	193	912	1	99.35	-1.7404	-59.44206
Fuzaca	744.8	65	2	73.12	-1.49238	-59.85987
Garrafa	9.23	11872	2	64.54	-1.58859	-59.83555
Mascote	669.88	4625	2	79.27	-1.64884	-59.83285
Moita	97.42	7528	2	65.8	-1.55987	-59.89247
Neto	32.83	581	1	95.4	-1.84149	-59.35228
Palhal	21.21	5803	3	96.39	-1.79036	-59.4479
Panema	3.31	2960	2	58.7	-1.77448	-59.69241
Pe_Torto	5.85	146	2	79.87	-1.76646	-59.36351
Pontal	110.03	66	1	92.39	-1.83105	-59.68658
Porto_seguro	1459.7	44	1	94.44	-1.78009	-59.51723
Relogio	70.8	8089	2	67.65	-1.68189	-59.65259
Sapupara	77.89	4278	1	87.41	-1.69713	-59.61263
Torem	3.52	1984	3	30.05	-1.82947	-59.63244
Tristeza	484.03	792	3	53.4	-1.76752	-59.75447
TF1	14596.99	0	0	93.42	-1.8349	-59.71799
TF2	14596.99	0	0	99.99	-1.7948	-59.26587
TF3	14596.99	0	0	76.65	-1.42884	-59.90534
